reference,querry,ani,alignment_coverage,primary_cluster
TOBG_ARS-1009.fna,TOBG_ARS-1009.fna,1.0,0.993933265925177,418
TOBG_CPC-300.fna,TOBG_ARS-1009.fna,0.960323,0.7301204819277108,418
TOBG_EAC-646.fna,TOBG_ARS-1009.fna,0.986104,0.7176581680830972,418
TOBG_NP-38.fna,TOBG_ARS-1009.fna,0.9612179999999999,0.6432246998284734,418
TOBG_ARS-1009.fna,TOBG_CPC-300.fna,0.957539,0.621840242669363,418
TOBG_CPC-300.fna,TOBG_CPC-300.fna,1.0,0.9867469879518073,418
TOBG_EAC-646.fna,TOBG_CPC-300.fna,0.962526,0.6392823418319169,418
TOBG_NP-38.fna,TOBG_CPC-300.fna,0.9835590000000001,0.6535162950257289,418
TOBG_ARS-1009.fna,TOBG_EAC-646.fna,0.9860479999999999,0.7684529828109201,418
TOBG_CPC-300.fna,TOBG_EAC-646.fna,0.963831,0.8132530120481928,418
TOBG_EAC-646.fna,TOBG_EAC-646.fna,1.0,0.9896128423040604,418
TOBG_NP-38.fna,TOBG_EAC-646.fna,0.9635809999999999,0.7178387650085764,418
TOBG_ARS-1009.fna,TOBG_NP-38.fna,0.961422,0.7664307381193124,418
TOBG_CPC-300.fna,TOBG_NP-38.fna,0.985,0.9156626506024096,418
TOBG_EAC-646.fna,TOBG_NP-38.fna,0.9650310000000001,0.7818696883852692,418
TOBG_NP-38.fna,TOBG_NP-38.fna,1.0,0.9914236706689536,418
TOBG_ARS-1012.fna,TOBG_ARS-1012.fna,1.0,0.9934024505183789,354
TOBG_CPC-316.fna,TOBG_ARS-1012.fna,0.9043429999999999,0.759447004608295,354
TOBG_ARS-1012.fna,TOBG_CPC-316.fna,0.905593,0.7747408105560791,354
TOBG_CPC-316.fna,TOBG_CPC-316.fna,1.0,0.9935483870967742,354
TOBG_ARS-1018.fna,TOBG_ARS-1018.fna,1.0,0.9912587412587412,719
TOBG_ARS-1019.fna,TOBG_ARS-1019.fna,1.0,0.9958448753462604,857
TOBG_ARS-102.fna,TOBG_ARS-102.fna,1.0,0.9963898916967509,968
TOBG_ARS-1030.fna,TOBG_ARS-1030.fna,1.0,0.9963325183374083,154
TOBG_EAC-9.fna,TOBG_ARS-1030.fna,0.97198,0.8035087719298246,154
TOBG_NAT-108.fna,TOBG_ARS-1030.fna,0.945894,0.7754293262879789,154
TOBG_NP-57.fna,TOBG_ARS-1030.fna,0.9172490000000001,0.8322981366459627,154
TOBG_ARS-1030.fna,TOBG_EAC-9.fna,0.972538,0.8422982885085575,154
TOBG_EAC-9.fna,TOBG_EAC-9.fna,1.0,0.9906432748538012,154
TOBG_NAT-108.fna,TOBG_EAC-9.fna,0.945641,0.7714663143989432,154
TOBG_NP-57.fna,TOBG_EAC-9.fna,0.917589,0.8273291925465839,154
TOBG_ARS-1030.fna,TOBG_NAT-108.fna,0.945227,0.7127139364303179,154
TOBG_EAC-9.fna,TOBG_NAT-108.fna,0.944825,0.6877192982456141,154
TOBG_NAT-108.fna,TOBG_NAT-108.fna,1.0,0.9894319682959049,154
TOBG_NP-57.fna,TOBG_NAT-108.fna,0.914192,0.7105590062111802,154
TOBG_ARS-1030.fna,TOBG_NP-57.fna,0.917578,0.80440097799511,154
TOBG_EAC-9.fna,TOBG_NP-57.fna,0.9181,0.7649122807017544,154
TOBG_NAT-108.fna,TOBG_NP-57.fna,0.915591,0.7516512549537648,154
TOBG_NP-57.fna,TOBG_NP-57.fna,1.0,0.9900621118012423,154
TOBG_ARS-1032.fna,TOBG_ARS-1032.fna,1.0,0.9825493171471927,91
TOBG_ARS-1034.fna,TOBG_ARS-1034.fna,1.0,0.9914529914529915,434
TOBG_IN-924.fna,TOBG_ARS-1034.fna,0.954032,0.7012779552715654,434
TOBG_SAT-1582.fna,TOBG_ARS-1034.fna,0.949376,0.7717391304347826,434
TOBG_ARS-1034.fna,TOBG_IN-924.fna,0.954328,0.7504273504273504,434
TOBG_IN-924.fna,TOBG_IN-924.fna,1.0,0.9968051118210862,434
TOBG_SAT-1582.fna,TOBG_IN-924.fna,0.97329,0.7956521739130434,434
TOBG_ARS-1034.fna,TOBG_SAT-1582.fna,0.949106,0.611965811965812,434
