scaffold	length	coverage	breadth	nucl_diversity	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_median	nucl_diversity_rarefied	nucl_diversity_rarefied_median	breadth_rarefied	conANI_reference	popANI_reference	SNS_count	SNV_count	divergent_site_count	population_divergent_sites	consensus_divergent_sites
TOBG_CPC-20.fna_25892	7665	1.0110893672537509	0.6617090671885193	0.0228327231092767	1	1.019321327738434	0.0116434950590351	0.0118721461187214	0.5904891626831812	0.0			0.0	0.989010989010989	1.0	0	3	3	0	1
TOBG_CPC-20.fna_27013	81013	1.1128584301284978	0.6464518040314517	0.0222125288704359	1	1.128150403520313	0.0039636228740258	0.0113191709972473	0.6256836538616615	0.0			0.0	0.9912758996728462	0.9967284623773174	4	23	27	3	8
TOBG_CPC-20.fna_28477	9085	0.718547055586131	0.5211887727022565		1	0.8287171605624251	0.0086949636204739	0.0	0.4697873094874488				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-20.fna_29230	7636	0.892352016762703	0.5859088528025144	0.0	1	0.9281067035315762	0.0106216842933964	0.001178627553693	0.5452224273158177	0.0			0.0	1.0	1.0	0	0	0	0	0
TOBG_CPC-20.fna_43610	17728	0.7497179602888087	0.5316448555956679	0.006666666517655	1	0.8810869568366977	0.0066176097082378	0.0027075812274368	0.4841818297997494	0.0			0.0	1.0	1.0	0	0	0	0	0
TOBG_CPC-20.fna_43658	11368	1.022167487684729	0.5942118226600985	0.0418914455048581	1	1.1781949612607734	0.0110508130295663	0.0206720619282195	0.5944754609112035	0.0			0.0	0.9914893617021276	0.9914893617021276	1	15	16	2	2
TOBG_CPC-20.fna_43712	35278	0.9329610522138444	0.6060717727762345	0.0021052631108384	1	0.9949480200932056	0.0052973000087173	0.0043086342763195	0.5612408321803064	0.0			0.0	1.0	1.0	0	0	0	0	0
TOBG_CPC-20.fna_43819	21769	0.9411089163489366	0.6139464375947449	0.0308771938608404	1	0.9570812321076732	0.0064869348411588	0.0026184023152188	0.5643861848196151	0.0			0.0	0.9649122807017544	0.9824561403508772	1	3	4	1	2
TOBG_CPC-20.fna_43829	17320	1.028348729792148	0.6426674364896073		1	1.0007237788824588	0.0076041874376576	0.0	0.5966827994139742				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-20.fna_43935	16189	1.006609426153561	0.5892272530730743	0.0414814816580878	1	1.0670953539271075	0.008386999770937	0.0016677991228612	0.5888660163357499	0.0			0.0	1.0	1.0	0	1	1	0	0
TOBG_CPC-20.fna_43970	35022	0.6279767003597738	0.4331563017531837		0	0.8272303808789633	0.0044204064557499	0.0	0.4256425988936972				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-20.fna_43993	19004	0.9361187118501368	0.5908229846348138	0.0373985032512717	1	1.044133668991495	0.0075743438370245	0.0076825931382866	0.5624624824948496	0.0			0.0	0.9863013698630136	1.0	0	8	8	0	2
TOBG_CPC-20.fna_44042	28159	0.7191306509464115	0.4930927944884406	0.0166233762518152	0	0.9071298080961976	0.0054059065720806	0.0027344721048332	0.4700604654959563	0.0			0.0	1.0	1.0	0	0	0	0	0
TOBG_CPC-20.fna_44169	5968	0.3314343163538874	0.255529490616622		0	0.6203139234678883	0.0080303321786816	0.0	0.2537215576803669				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-20.fna_44188	25586	1.048933010239975	0.6325725005862581	0.0640000000596046	1	1.0471704395467938	0.00654673351654	0.0015633549597436	0.6039472414902816	0.0			0.0	1.0	1.0	0	2	2	0	0
TOBG_CPC-20.fna_44194	15337	0.9721588315837516	0.6275673208580557	0.0	1	0.9439916766871984	0.0076227576966505	6.520179956966813e-05	0.5761672030275717	0.0			0.0	1.0	1.0	0	0	0	0	0
TOBG_CPC-20.fna_44409	10272	0.729458722741433	0.5179127725856698		1	0.8458464229358567	0.0083461301418791	0.0	0.4748713780365947				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-20.fna_44551	16961	0.9455810388538411	0.5886445374683097	0.023076923420796	1	1.0227865310627946	0.0078536596449426	0.0061317139319615	0.5661029813731119	0.0			0.0	1.0	1.0	0	3	3	0	0
TOBG_CPC-20.fna_44628	8595	1.0124490983129726	0.6110529377545084	0.0274011305833267	1	1.08486161211914	0.0117024465787511	0.0137289121582315	0.5909805437634925	0.0			0.0	1.0	1.0	0	3	3	0	0
TOBG_CPC-20.fna_44710	5587	1.0143189547163056	0.6461428315732951	0.0309677431660313	1	1.0370662662522097	0.0138757364377403	0.0055485949525684	0.5916553117155472	0.0			0.0	1.0	1.0	0	2	2	0	0
TOBG_CPC-20.fna_44763	10558	0.6335480204584202	0.4932752415230157		0	0.7472369569416639	0.0072725728845199	0.0	0.4284611974432495				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-20.fna_44786	33623	0.9786455699967284	0.5927490110935967	0.0252004579170462	1	1.0569353431128563	0.0057641682471538	0.0028849299586592	0.5785878890828706	0.0			0.0	0.9896907216494846	1.0	0	2	2	0	1
TOBG_CPC-20.fna_44809	23470	0.606178099701747	0.3985513421389007	0.0332555414116295	0	0.9059502252510536	0.0059136694397646	0.005837239028547	0.414480189911904	0.0			0.0	0.9343065693430656	0.9635036496350364	5	4	9	5	9
TOBG_CPC-20.fna_44837	9832	0.9041903986981286	0.5487184703010578	0.0085956789553165	1	1.1037396375538433	0.0111318614200117	0.0146460537021969	0.5499515890208655	0.0			0.0	1.0	1.0	0	0	0	0	0
TOBG_CPC-20.fna_44938	14777	0.8126141977397306	0.5896325370508222		1	0.8219813216825055	0.0067621298759977	0.0	0.5120480478103778				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-20.fna_45123	12727	0.6093344857389801	0.4058301249312485		0	0.890112748059597	0.0078904007524408	0.0	0.4161098136502947				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-20.fna_45132	10636	0.830105302745393	0.4701015419330575	0.0163265304500553	0	1.1275383082286898	0.0109335843274618	0.0138209853328318	0.519526393982084	0.0			0.0	0.9863945578231292	0.9931972789115646	1	1	2	1	2
TOBG_CPC-20.fna_45168	13160	0.8137537993920972	0.5407294832826748	0.0	1	0.9228816441185262	0.0080451577575923	0.0002279635258358	0.5125388114104747	0.0			0.0	1.0	1.0	0	0	0	0	0
TOBG_CPC-20.fna_45194	6958	0.8426271917217592	0.5225639551595286	0.0228571428192986	1	1.0060664492644766	0.0120618983591947	0.0090543259557344	0.5248096461563561	0.0			0.0	0.984126984126984	0.984126984126984	1	1	2	1	1
TOBG_CPC-20.fna_45220	38969	1.0079293797634017	0.617721778849855	0.0290135003138924	1	1.043395575178348	0.0052856077715842	0.0054915445610613	0.5893449216798081	0.0			0.0	0.97196261682243	0.9953271028037384	1	7	8	1	6
TOBG_CPC-20.fna_45251	49180	1.000203334688898	0.6157177714518097	0.0314209682099959	1	1.0437559843336526	0.0047066199541622	0.0069133794225294	0.5865338146522229	0.0			0.0	0.9882352941176472	0.9882352941176472	4	4	8	4	4
TOBG_CPC-20.fna_45272	12611	0.8517167552137023	0.5727539449686782	0.0177777780426873	1	0.970858812135948	0.0086456675884125	0.0035683133772103	0.5286082995714487	0.0			0.0	0.9777777777777776	1.0	0	1	1	0	1
TOBG_CPC-20.fna_45445	35115	0.7652000569557169	0.5214580663534102	0.0	1	0.9204910883029572	0.0049122384011152	0.0042432009112914	0.491185439632857	0.0			0.0	0.9932885906040269	0.9932885906040269	1	0	1	1	1
TOBG_CPC-20.fna_45550	6212	0.6988087572440438	0.5199613650998068		1	0.8113679577000149	0.0102952545273857	0.0	0.4604652757791501				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-20.fna_45638	13354	0.7504867455444062	0.4746892316908791	0.0373581972989168	0	1.0325908965191428	0.0089359116745198	0.0107084019769357	0.484531867632497	0.0			0.0	0.986013986013986	0.993006993006993	1	6	7	1	2
TOBG_CPC-20.fna_45779	20649	1.0081844157102038	0.6727686570778246	0.0342857156481061	1	0.9533050860740891	0.0066342665162894	0.0027119957382924	0.5894373894530204	0.0			0.0	1.0	1.0	0	4	4	0	0
TOBG_CPC-20.fna_45888	46366	1.036147176810594	0.6221584781952293	0.0308054038664189	1	1.1221153456265909	0.0052112555372554	0.0141482983220463	0.5994505130252101	0.0			0.0	0.9801829268292684	0.9908536585365854	6	23	29	6	13
TOBG_CPC-20.fna_45905	16577	0.987271520781806	0.6048742233214695	0.0139035088451284	1	1.0872065649688292	0.0084444661108706	0.0091693310007842	0.5817854718404477	0.0			0.0	1.0	1.0	0	0	0	0	0
TOBG_CPC-20.fna_45965	10002	0.5646870625874825	0.4148170365926815		0	0.7733984212726223	0.0077335975425156	0.0	0.3926309461774135				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-20.fna_46416	17627	1.201055199409996	0.6798661144834629	0.0290434785511182	1	1.1790290549001758	0.0088807086973983	0.019572247120894	0.6537283654850995	0.0			0.0	1.0	1.0	0	9	9	0	0
TOBG_CPC-20.fna_46694	17484	0.9238160603980784	0.5771562571493938	0.0253465346770711	1	1.0290485493786938	0.0077826569194651	0.0057767101349805	0.5576834962511207	0.0			0.0	0.9702970297029704	0.9702970297029704	3	2	5	3	3
TOBG_CPC-20.fna_46756	8552	0.8243685687558466	0.4994153414405987		0	1.0025809531495455	0.0108420397823607	0.0	0.5170863627639698				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-20.fna_46810	11112	0.8237041036717062	0.5125089992800576	0.0626506029841411	1	1.0534507534000683	0.0099939613206252	0.0074694024478041	0.5168029432494946	0.0			0.0	0.9759036144578314	1.0	0	5	5	0	2
TOBG_CPC-20.fna_47004	9716	1.0047344586249485	0.5967476327706875	0.0234146336229835	1	1.0837596670586656	0.0109954138942295	0.0042198435570193	0.5881847806521335	0.0			0.0	1.0	1.0	0	0	0	0	0
TOBG_CPC-20.fna_47285	8734	0.8038699335928555	0.4708037554385161	0.0373831775700934	0	1.0818902495401206	0.0115771451055677	0.012250973208152	0.5082658978481656	0.0			0.0	0.9906542056074766	1.0	0	2	2	0	1
TOBG_CPC-20.fna_47337	6253	1.011194626579242	0.6347353270430194		1	1.0379968449885644	0.0131276366830679	0.0	0.5905272224833178				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-20.fna_47498	11090	1.0767357980162309	0.6139765554553652	0.0376251057814095	1	1.1569251961375493	0.0109864931112101	0.0118124436429215	0.6135519029597761	0.0			0.0	0.9923664122137404	1.0	0	6	6	0	1
TOBG_CPC-20.fna_47506	19981	0.9539562584455232	0.5615835043291126	0.0326131687120154	1	1.080782899096634	0.0076461131822503	0.0054051348781342	0.5692999523151867	0.0			0.0	0.9537037037037036	0.9722222222222222	3	3	6	3	5
TOBG_CPC-20.fna_47595	5764	0.9970506592643996	0.5870922970159611	0.0640000019754681	1	1.080146193006481	0.0142284708841312	0.0060721721027064	0.585381198769708	0.0			0.0	0.9428571428571428	1.0	0	4	4	0	2
TOBG_CPC-20.fna_47625	36158	0.8239117207810166	0.5297582830908789		1	0.9420079036808436	0.0049540268039969	0.0	0.516891517669194				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-20.fna_47877	12180	0.8480295566502463	0.5439244663382594	0.0	1	0.9864310414087806	0.0089384232439189	0.0002463054187192	0.5270710430633658	0.0			0.0	1.0	1.0	0	0	0	0	0
TOBG_CPC-20.fna_48003	7085	1.0318983768525052	0.5853211009174312	0.014285714498588	1	1.1427900441220322	0.0135777301149356	0.0079040225829216	0.5979449529433191	0.0			0.0	0.9821428571428572	0.9821428571428572	0	1	1	1	1
TOBG_CPC-20.fna_48297	7902	0.0143001771703366	0.0141736269298911		0	0.1197864040036452	0.00134761704888	0.0	0.0125476696559979				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-289.fna_5110	61239	0.2514247456686099	0.2122503633305573		0	0.5190379891836283	0.0020974356551214	0.0	0.1990910833487658				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-289.fna_5684	22384	0.1379110078627591	0.1183881343817012		0	0.4072952459631562	0.0027223890770321	0.0	0.1146528225027264				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-289.fna_5713	100750	0.3138560794044665	0.2498957816377171		0	0.6025138151121566	0.0018982204037356	0.0	0.2420477712735762				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-289.fna_6032	42277	0.3180689263665823	0.2886912505617712		0	0.5332993902465646	0.0025937262807452	0.0	0.2448620732506767				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-289.fna_6479	26002	0.3234366587185601	0.2604415044996538		0	0.6073004601854843	0.0037662451426557	0.0	0.2484327376343739				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-289.fna_6544	11500	0.3160869565217391	0.2489565217391304		0	0.6353379048255571	0.0059248141172856	0.0	0.2435393648565637				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-289.fna_7019	16645	0.1382397116251126	0.1162511264644037		0	0.414581797598504	0.0032135227344109	0.0	0.1149097531797355				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-289.fna_7606	9682	5.576430489568271	0.3250361495558769	0.0379510107739218	0	15.765628581214438	0.1602327110744085	0.1497624457756662	0.9927299210099456	0.0	0.0409330254889526	0.0	0.0447221648419748	0.9627586206896552	0.9758620689655172	47	129	176	35	54
TOBG_CPC-289.fna_8047	129195	0.2840589806107047	0.238925655017609		0	0.5498510292998778	0.0015297620048331	0.0	0.2218407466117126				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-289.fna_8182	6882	0.1413833188026736	0.1192967160709096		0	0.4068995962526176	0.0049052537674087	0.0	0.1173631845352565				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-289.fna_9989	14487	0.3452060468005798	0.286187616483744		0	0.6056853440250553	0.005032373011643	0.0	0.2627416749541309				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-289.fna_MHASMcontig_105370	41810	0.3296579765606314	0.2592920353982301		0	0.6252160422408884	0.0030577024616417	0.0	0.2525500954616348				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-289.fna_MHASMcontig_24381	23938	0.2254156571142117	0.2025231848943103		0	0.4694554111753135	0.0030343067934176	0.0	0.1804845477176518				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-289.fna_MHASMcontig_265262	16693	0.266159468040496	0.2061343077936859		0	0.5935239013114033	0.0045939263124313	0.0	0.2094440210902528				0.0	0.0	0.0	0	0	0	0	0
TOBG_EAC-35.fna_107755	7934	1.8705570960423492	0.8482480463826569	0.0021563342639377	2	1.3952845674462628	0.0156654928818816	0.046760776405344	0.8082766661739222	0.0			0.0	0.9919137466307276	0.9919137466307276	4	1	5	3	3
TOBG_EAC-35.fna_108126	10915	2.156939990838296	0.8797984425103069	0.008649434798803	2	1.5298574269331322	0.0146439751916555	0.0535959688502061	0.8511145427426009	0.0			0.0	0.9897435897435898	0.9914529914529916	7	2	9	5	6
TOBG_EAC-35.fna_108956	9746	1.5990149805048224	0.7456392366098913	0.0035294119049521	1	1.3864042778537673	0.0140442634637499	0.027908885696696	0.7563275144759051	0.0			0.0	0.9889705882352942	0.9889705882352942	6	2	8	3	3
TOBG_EAC-35.fna_110468	7093	1.7621598759340191	0.7854222472860567	0.0	2	1.3694293593149556	0.0162613003363372	0.0293246863104469	0.789018994408116	0.0			0.0	0.9903846153846154	0.9903846153846154	2	0	2	2	2
TOBG_EAC-35.fna_111097	9729	2.2281837804502005	0.8491109055401377	0.0007644217185047	2	1.549453134719608	0.0157096555931081	0.0803782505910165	0.8601921470673713	0.0			0.0	0.9846547314578004	0.9846547314578004	21	0	21	12	12
TOBG_EAC-35.fna_112447	10939	1.5958497120394917	0.8039126062711399	0.0027547363312013	1	1.2779913412315376	0.0122196552049598	0.019837279458817	0.7556455138064158	0.0			0.0	1.0	1.0	1	0	1	0	0
TOBG_EAC-35.fna_112980	7176	2.0473801560758083	0.8320791527313266	0.0033472802599104	2	1.4531848479091083	0.017155757872509	0.0666109253065774	0.8359914433485354	0.0			0.0	0.9769874476987448	0.9769874476987448	14	0	14	11	11
TOBG_EAC-35.fna_113391	41399	1.6973839947824827	0.660571511389164	0.0017839069162367	1	1.6789089899894605	0.0082515868391019	0.0665958114930312	0.776599704005057	0.0			0.0	0.9880304678998912	0.9887558940877764	35	4	39	31	33
TOBG_EAC-35.fna_87533	13090	2.040488922841864	0.90122230710466	0.0012279312687016	2	1.3472814738636398	0.0117761981354549	0.0453017570664629	0.8349904154966276	0.0			0.0	0.9831365935919056	0.9831365935919056	12	1	13	10	10
TOBG_EAC-35.fna_87669	52473	1.914870504831056	0.8404703371257599	0.0009476017090536	2	1.4170589533669669	0.0061862021768016	0.050635564957216	0.8156336845729236	0.0			0.0	0.9883327060594655	0.9883327060594655	50	0	50	31	31
TOBG_EAC-35.fna_87731	40243	2.1241458141788634	0.8401212633252988	0.0017744807480767	2	1.6583837013987714	0.0082669486970725	0.0830454985960291	0.8467401993114441	0.0			0.0	0.985637342908438	0.985936564931179	57	1	58	47	48
TOBG_EAC-35.fna_87989	107915	2.5242552008525228	0.910957698188389	0.0014929781787014	2	1.6400030455619643	0.0049923584409664	0.1225779548718899	0.8923550903446811	0.0			0.0	0.9876020562443302	0.9876776534623526	230	7	237	163	164
TOBG_EAC-35.fna_88096	87615	1.7240541003252867	0.8121097985504765	0.0022257970510716	2	1.3481434622352375	0.0045545907076142	0.0369229013296809	0.7817992504825989	0.0			0.0	0.9891808346213292	0.9891808346213292	47	2	49	35	35
