scaffold	name1	name2	coverage_overlap	compared_bases_count	percent_genome_compared	length	consensus_SNPs	population_SNPs	conANI	popANI
TOBG_MED-828.fna_37174	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9366020524515394	8214	0.9288702928870292	8843	47	0	0.9942780618456294	1.0
TOBG_MED-746.fna_79774	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.923312217979868	42561	0.922871763736502	46118	10	0	0.9997650431145884	1.0
TOBG_MED-828.fna_109612	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9912878649801334	27194	0.9907100440817516	27449	72	0	0.9973523571376038	1.0
TOBG_MED-1001.fna_46975	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8722210362599494	28601	0.8703100751605148	32863	12	0	0.9995804342505508	1.0
TOBG_MED-630.fna_3094	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9977701882638516	35350	0.979332890070922	36096	88	0	0.9975106082036777	1.0
TOBG_MED-630.fna_27743	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9938650306748468	13284	0.9906040268456376	13410	8	0	0.9993977717554954	1.0
TOBG_NAT-154.fna_MHASMcontig_1373627	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9624576503983152	10511	0.9604349415204678	10944	11	0	0.9989534773094852	1.0
TOBG_MED-806.fna_151125	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.6581293157564344	5242	0.6523145843703335	8036	37	0	0.992941625333842	1.0
TOBG_MED-806.fna_79873	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.4771719279937386	3658	0.4593746075599648	7963	9	0	0.9975396391470748	1.0
TOBG_MED-746.fna_86023	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9802637912775584	10182	0.9784739573323082	10406	12	0	0.9988214496169712	1.0
TOBG_MED-828.fna_113415	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8466654842142604	9547	0.8445682944090588	11304	80	0	0.9916204043154918	1.0
TOBG_NAT-118.fna_154210	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.7656554010232759	21250	0.7650489631336406	27776	31	0	0.9985411764705884	1.0
TOBG_MED-746.fna_96406	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.7447306791569087	16218	0.7310344827586207	22185	5	0	0.9996917005796028	1.0
TOBG_NAT-118.fna_153715	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.7390636991557943	16371	0.738463620370788	22169	67	0	0.9959073972268035	1.0
TOBG_NAT-154.fna_127797	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9778193938560924	56913	0.9609624314056564	59225	93	0	0.9983659269411208	1.0
TOBG_MED-630.fna_33651	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9832145793368046	14351	0.9813991656978732	14623	11	0	0.9992335028917846	1.0
TOBG_MED-731.fna_85236	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9383958495936826	102196	0.937698419980548	108986	91	0	0.9991095541899878	1.0
TOBG_MED-630.fna_29075	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.986136926889715	12733	0.984611815651098	12932	33	0	0.9974083091180398	1.0
TOBG_MED-630.fna_29253	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.994955926373063	60162	0.994002478314746	60525	84	0	0.998603769821482	1.0
TOBG_MED-746.fna_9871	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9507974701852656	72311	0.9382874641545668	77067	46	0	0.9993638588873062	1.0
TOBG_NAT-118.fna_154272	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.712337757036605	9769	0.6953024911032029	14050	5	0	0.9994881768860682	1.0
TOBG_MED-630.fna_32521	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9792660658538022	16625	0.973759737597376	17073	21	0	0.9987368421052631	1.0
TOBG_MED-806.fna_82996	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.7971597398083321	32108	0.7882939284574403	40731	272	0	0.991528591005357	1.0
TOBG_MED-806.fna_100625	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8246594005449591	12106	0.8220833899225859	14726	163	0	0.9865356021807368	1.0
TOBG_MED-828.fna_110192	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9248154457694492	24429	0.9187288454306132	26590	123	0	0.9949650006140244	1.0
TOBG_MED-1001.fna_62406	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9148148148148147	12597	0.90920245398773	13855	23	0	0.9981741684528064	1.0
TOBG_MED-828.fna_109998	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8413529732678668	7711	0.8267395732818699	9327	28	0	0.9963688237582674	1.0
TOBG_MED-1001.fna_44967	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8189316925271981	18367	0.8121959847881843	22614	77	0	0.9958076985898624	1.0
TOBG_MED-828.fna_113483	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9461800997637176	7208	0.9434554973821988	7640	30	0	0.9958379578246392	1.0
