scaffold	length	coverage	breadth	nucl_diversity	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_median	nucl_diversity_rarefied	nucl_diversity_rarefied_median	breadth_rarefied	conANI_reference	popANI_reference	SNS_count	SNV_count	divergent_site_count	consensus_divergent_sites	population_divergent_sites
TOBG_CPC-1399.fna_10409	71071	1.2211872634407843	0.6355475510405088	0.0112250596598575	1	1.3416886936194203	0.0050327876015623	0.0267338295507309	0.6598295126339873	0.0			0.0	0.9894736842105264	0.9926315789473684	14	28	42	20	14
TOBG_CPC-1399.fna_10823	8888	7.893789378937893	0.8663366336633663	0.0305210964710025	7	6.019729574196655	0.0638556590666043	0.6638163816381638	0.9990605500575672	0.0			0.0	0.9791525423728814	0.9928813559322034	60	327	387	123	42
TOBG_CPC-1399.fna_10946	44561	0.8433159040416508	0.4850205336505016	0.0187073829590661	0	1.1577803624796523	0.0054847089703789	0.0152824218487017	0.5250985372305785	0.0			0.0	0.9809104258443464	0.9926578560939796	6	20	26	13	5
TOBG_CPC-1399.fna_11064	18917	0.8459586615213829	0.5007136438124439	0.0111827959296524	1	1.080742138678923	0.0078579169142965	0.0098324258603372	0.5262054538168881	0.0			0.0	0.978494623655914	0.978494623655914	6	3	9	4	4
TOBG_CPC-1399.fna_1212	10414	0.2946994430574227	0.1925292874975993		0	0.6735537187109274	0.0066006135110097	0.0	0.2291177248708038				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-1399.fna_12236	14695	0.8432119768628785	0.4862198026539639	0.0133716814316712	0	1.2258073394819724	0.0101123524906717	0.0209595100374276	0.5250549546164494	0.0			0.0	0.9837662337662336	0.9935064935064936	2	6	8	5	2
TOBG_CPC-1399.fna_14332	11872	0.8645552560646901	0.5054750673854448	0.0	1	1.0714927763908717	0.00983434851614	0.002021563342318	0.5339220066258018	0.0			0.0	1.0	1.0	2	0	2	0	0
TOBG_CPC-1399.fna_14386	26422	1.2927863144349403	0.6546817046400727	0.0127838476739748	1	1.356947559400104	0.0083481153002545	0.0299750208159866	0.6806700279409985	0.0			0.0	0.9861111111111112	0.9949494949494948	4	15	19	11	4
TOBG_CPC-1399.fna_1444	47949	1.014974243467017	0.5381342676593881	0.0122402578843796	1	1.25197500645186	0.0057175557858316	0.019771006694613	0.591891519761621	0.0			0.0	0.9820675105485231	0.9883966244725738	10	17	27	17	11
TOBG_CPC-1399.fna_14457	18393	0.9567226662317186	0.499809710215843	0.0161485643534178	0	1.266774066582008	0.0093408131514785	0.0193551894742565	0.5703507557793365	0.0			0.0	0.9971910112359552	0.9971910112359552	1	9	10	1	1
TOBG_CPC-1399.fna_14994	41748	1.1303775031139216	0.5610328638497653	0.0158156057498966	1	1.3663105516620984	0.0066870841185637	0.0237855705662546	0.6314295242315882	0.0			0.0	0.9818731117824774	0.9848942598187312	15	18	33	18	15
TOBG_CPC-1399.fna_15262	33354	1.1645979492714518	0.5751334172812856	0.0095369249059442	1	1.4408898279838165	0.0078897514831787	0.0341788091383342	0.6423999118601408	0.0			0.0	0.9894736842105264	0.9947368421052633	18	10	28	12	6
TOBG_CPC-1399.fna_1543	62510	0.0244280915053591	0.0218365061590145		0	0.1703365214610598	0.0006812970342235	0.0	0.0213390358932651				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-1399.fna_15900	9082	1.6093371504073992	0.7653600528517948	0.0037209302880043	2	1.3160507029460036	0.0138103849308238	0.023673199735741	0.7585383707991332	0.0			0.0	0.9906976744186048	0.9906976744186048	2	1	3	2	2
TOBG_CPC-1399.fna_1618	20024	0.9762285257690771	0.5056931681981622	0.0110900805387587	1	1.3093803369049408	0.0092533979787637	0.031662005593288	0.5776875298086528	0.0			0.0	0.9858044164037856	0.9936908517350158	7	6	13	9	4
