scaffold	length	coverage	breadth	nucl_diversity	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_median	nucl_diversity_rarefied	nucl_diversity_rarefied_median	breadth_rarefied	conANI_reference	popANI_reference	SNS_count	SNV_count	divergent_site_count	consensus_divergent_sites	population_divergent_sites
TOBG_CPC-1232.fna_10692	10901	39.81176038895514	0.9884414273919824	0.0244719155666328	45	15.595631323722731	0.1493790561647997	0.9594532611687	0.9999999999999994	0.0	0.0233592729134992	0.0	0.3027245206861755	0.9846065589444496	0.9918730280141504	134	713	847	161	85
TOBG_CPC-1232.fna_11802	6234	0.0287135065768367	0.0287135065768367		0	0.1670001231044416	0.0021152817762474	0.0	0.0250353122255018				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-1232.fna_11917	7750	0.1090322580645161	0.1090322580645161		0	0.3116796829532988	0.0035406717263571	0.0	0.0917862166459544				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-1232.fna_12752	6002	0.0313228923692102	0.0313228923692102		0	0.1741888882300967	0.0022485815033801	0.0	0.0272791303568415				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-1232.fna_13322	8894	0.0850011243534967	0.0743197661344726		0	0.3148629061197687	0.0033388534203219	0.0	0.0723084591764662				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-1232.fna_13579	14861	0.0240226095148374	0.0240226095148374		0	0.1531193121292514	0.0012560894406193	0.0	0.0209885728005349				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-1232.fna_13686	21246	0.0470676833286265	0.0470676833286265		0	0.2117836549753136	0.0014529948380087	0.0	0.0407089571542321				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-1232.fna_13835	11915	0.0276122534620226	0.0234158623583718		0	0.1877301231237901	0.001719907804059	0.0	0.0240867891251955				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-1232.fna_15088	26010	0.0068819684736639	0.0068819684736639		0	0.08267168187228	0.0005126192910605	0.0	0.0060583518888471				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-1232.fna_15353	11336	0.0756880733944954	0.062985179957657		0	0.3088125253515499	0.0029005753017421	0.0	0.0646482047063025				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-1232.fna_1712	86221	0.0114009348070655	0.0114009348070655		0	0.1061647469388525	0.0003615566215533	0.0	0.0100165225474484				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-1232.fna_1875	7091	0.0234099562826117	0.0234099562826117		0	0.1512016211204693	0.0017956981280831	0.0	0.0204588109631069				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-1232.fna_20428	7657	0.0229855034608854	0.0229855034608854		0	0.1498571656329289	0.0017126812838908	0.0	0.0200916181108157				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-1232.fna_22175	9377	24.519249226831608	0.9480644129252426	0.0381674047613186	25	14.846636181268838	0.1533272219055646	0.8361949450783833	0.9999999996043524	0.0	0.0219265313781037	0.0	0.0313533112935907	0.9678612421884965	0.9885218722101772	77	752	829	252	90
TOBG_CPC-1232.fna_22717	9942	0.0304767652383826	0.0304767652383826		0	0.1718951192413186	0.0017240446480864	0.0	0.0265521096082015				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-1232.fna_24844	9430	1.269353128313892	0.5868504772004242	0.005365175824937	1	1.6092206163075922	0.0165722993687835	0.0511134676564156	0.6739937781281773	0.0			0.0	0.9688796680497924	0.970954356846473	14	2	16	15	14
TOBG_CPC-1232.fna_26429	8386	12.045552110660624	0.9217743858812306	0.0431045491124619	8	12.205454590539157	0.1332914909427738	0.6246124493202957	0.9999759703605794	0.0	0.0187200005849202	0.0	0.0089434772239446	0.9612447499045436	0.9805269186712484	100	466	566	203	102
TOBG_CPC-1232.fna_2837	6760	0.0270710059171597	0.0270710059171597		0	0.1622903772741713	0.0019740199916974	0.0	0.0236202676679917				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-1232.fna_2994	27452	0.0113652921462917	0.0113652921462917		0	0.1060005767942851	0.000639777766662	0.0	0.0099853648323826				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-1232.fna_3384	13240	0.0401812688821752	0.0339123867069486		0	0.2260630417906623	0.0019647259253142	0.0	0.0348580214390267				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-1232.fna_3641	6263	0.7306402682420565	0.3496726808238863	0.0082758623978187	0	1.2667898514064726	0.0160084042904036	0.0277822129969663	0.4754189614860856	0.0			0.0	0.9827586206896552	0.9885057471264368	2	3	5	3	2
TOBG_CPC-1232.fna_3655	14074	0.0376580929373312	0.0376580929373312		0	0.1903679620462817	0.001604724624172	0.0	0.0327053223311554				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-1232.fna_375	20409	0.0677642216669116	0.0613944828262041		0	0.275520797055693	0.0019286532940184	0.0	0.0580808232656925				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-1232.fna_3846	9620	29.515176715176715	0.9537422037422038	0.0254312780249222	36	18.6101451782368	0.1897513169343195	0.7403326403326403	0.9999999999951976	0.0	0.0235618375004812	0.0	0.0882536382536382	0.9828699803426004	0.993681550126369	63	495	558	122	45
TOBG_CPC-1232.fna_4336	14303	1.122701531147312	0.2626022512759561	0.0119430763220712	0	2.3652625249760257	0.0197779358567222	0.1115150667692092	0.628922911410273	0.0			0.0	0.9504702194357368	0.9579937304075236	65	27	92	79	67
TOBG_CPC-1232.fna_4621	13862	0.0142836531525032	0.0142836531525032		0	0.1186576184032117	0.0010078556749238	0.0	0.0125332619225226				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-1232.fna_5920	32922	0.025089605734767	0.0061053398942956	0.0294117642676129	0	0.3400666744975069	0.0018742501966966	0.0041309762468865	0.0219105215393177	0.0			0.0	0.9632352941176472	0.9705882352941176	4	1	5	5	4
TOBG_CPC-1232.fna_607	17206	0.5757875159827966	0.4189236312914099	0.0	0	0.8053159814696157	0.0061395844753851	0.001278623735906	0.3985551147516069	0.0			0.0	1.0	1.0	0	0	0	0	0
TOBG_CPC-1232.fna_7391	8706	0.0742016999770273	0.0742016999770273		0	0.2620988510038656	0.0028091875134361	0.0	0.0634197797032554				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-1232.fna_762	7346	0.0215083038388238	0.0215083038388238		0	0.1450713503928349	0.0016927224479759	0.0	0.0188126237356646				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-1232.fna_9423	36782	0.0249034854004676	0.0242509923332064		0	0.1599633956563145	0.000834082190827	0.0	0.0217497649431247				0.0	0.0	0.0	0	0	0	0	0
TOBG_CPC-1232.fna_9807	15822	0.0202250031601567	0.0202250031601567		0	0.1407691457931332	0.0011191556974844	0.0	0.0177001566661355				0.0	0.0	0.0	0	0	0	0	0
