genome,completeness,contamination,length,N50
TOBG_SP-261.fna,55.17,0.0,1367383,164539
TOBG_SP-3072.fna,88.2,7.94,3615531,47032
TOBG_SP-3094.fna,93.63,7.8,3710692,166207
TOBG_SP-318.fna,55.56,0.43,1077478,32138
TOBG_SAT-1488.fna,60.82,4.63,1219640,24744
TOBG_NAT-236.fna,91.9,8.7,2206263,247756
TOBG_EAC-39.fna,99.26,0.77,5353011,60390
TOBG_MED-706.fna,72.4,1.6,1443717,128827
TOBG_SP-306.fna,85.91,4.46,4169013,107540
TOBG_IN-7.fna,99.76,4.03,4654070,94779
TOBG_NP-114.fna,65.53,0.97,949313,12809
TOBG_SP-251.fna,74.05,0.89,2458711,112324
TOBG_SP-255.fna,54.74,1.22,1241521,24167
TOBG_SP-254.fna,53.4,1.1,1790345,23177
TOBG_SP-258.fna,94.4,3.2,3976579,189865
TOBG_MED-1105.fna,90.11,6.04,1861616,56449
TOBG_MED-950.fna,71.49,3.76,996915,45395
TOBG_SAT-86.fna,74.48,0.57,2409480,22742
TOBG_SAT-85.fna,99.0,5.79,3639824,215224
TOBG_MED-1247.fna,77.25,2.37,1292711,36252
TOBG_CPC-82.fna,94.2,1.86,3778117,38033
TOBG_CPC-81.fna,84.89,1.05,2579736,44509
TOBG_CPC-87.fna,69.81,1.63,1513162,11677
TOBG_MED-174.fna,61.21,3.38,1563806,13995
TOBG_NAT-227.fna,55.6,2.15,1037771,22449
TOBG_EAC-27.fna,81.2,1.35,3748112,18588
TOBG_EAC-24.fna,87.18,2.56,2307206,36924
TOBG_SP-66.fna,57.95,1.08,1031398,28198
TOBG_MED-771.fna,63.25,1.72,1005289,13913
TOBG_MED-773.fna,68.38,1.78,883358,28544
TOBG_MED-774.fna,58.76,0.98,933742,24987
TOBG_MED-777.fna,80.06,3.2,2033632,90633
TOBG_RS-824.fna,58.58,0.0,1395388,55147
TOBG_RS-825.fna,65.02,4.05,2592470,9912
TOBG_MED-609.fna,85.23,1.61,2954804,31092
TOBG_MED-600.fna,57.69,0.3,1148476,15141
