genome,completeness,contamination,length,N50,centrality
TOBG_SP-261.fna,55.17,0.0,,,0.0
TOBG_SP-3072.fna,88.2,7.94,3615531.0,47032.0,0.988987
TOBG_SP-3094.fna,93.63,7.8,3710692.0,166207.0,0.0
TOBG_SP-318.fna,55.56,0.43,,,0.0
TOBG_SAT-1488.fna,60.82,4.63,,,0.0
TOBG_NAT-236.fna,91.9,8.7,2206263.0,247756.0,0.0
TOBG_EAC-39.fna,99.26,0.77,5353011.0,60390.0,0.9953433333333335
TOBG_MED-706.fna,72.4,1.6,,,0.0
TOBG_SP-306.fna,85.91,4.46,4169013.0,107540.0,0.0
TOBG_IN-7.fna,99.76,4.03,4654070.0,94779.0,0.9808045000000001
TOBG_NP-114.fna,65.53,0.97,,,0.0
TOBG_SP-251.fna,74.05,0.89,,,0.0
TOBG_SP-255.fna,54.74,1.22,,,0.0
TOBG_SP-254.fna,53.4,1.1,,,0.0
TOBG_SP-258.fna,94.4,3.2,3976579.0,189865.0,0.0
TOBG_MED-1105.fna,90.11,6.04,1861616.0,56449.0,0.0
TOBG_MED-950.fna,71.49,3.76,,,0.0
TOBG_SAT-86.fna,74.48,0.57,,,0.0
TOBG_SAT-85.fna,99.0,5.79,3639824.0,215224.0,0.9991735
TOBG_MED-1247.fna,77.25,2.37,1292711.0,36252.0,0.0
TOBG_CPC-82.fna,94.2,1.86,3778117.0,38033.0,0.973164
TOBG_CPC-81.fna,84.89,1.05,2579736.0,44509.0,0.9887595
TOBG_CPC-87.fna,69.81,1.63,,,0.0
TOBG_MED-174.fna,61.21,3.38,,,0.0
TOBG_NAT-227.fna,55.6,2.15,,,0.0
TOBG_EAC-27.fna,81.2,1.35,3748112.0,18588.0,0.9703105000000001
TOBG_EAC-24.fna,87.18,2.56,2307206.0,36924.0,0.9856579999999999
TOBG_SP-66.fna,57.95,1.08,,,0.0
TOBG_MED-771.fna,63.25,1.72,,,0.0
TOBG_MED-773.fna,68.38,1.78,,,0.0
TOBG_MED-774.fna,58.76,0.98,,,0.0
TOBG_MED-777.fna,80.06,3.2,2033632.0,90633.0,0.0
TOBG_RS-824.fna,58.58,0.0,,,0.0
TOBG_RS-825.fna,65.02,4.05,,,0.0
TOBG_MED-609.fna,85.23,1.61,2954804.0,31092.0,0.0
TOBG_MED-600.fna,57.69,0.3,,,0.0
TOBG_MED-601.fna,97.58,6.47,7173301.0,86002.0,0.0
TOBG_SAT-114.fna,89.77,3.47,4070297.0,279795.0,0.0
TOBG_ARS-1182.fna,53.58,0.93,,,0.0
TOBG_NP-102.fna,66.38,1.72,,,0.0
TOBG_NP-103.fna,89.78,1.08,3506299.0,27074.0,0.999661
TOBG_SP-249.fna,86.81,2.93,1379901.0,94329.0,0.0
TOBG_SP-331.fna,86.25,2.88,1345329.0,818563.0,0.0
TOBG_IN-1077.fna,77.35,2.14,1935680.0,31455.0,0.988844
TOBG_CPC-71.fna,98.51,1.55,6275017.0,171433.0,0.999933
TOBG_CPC-79.fna,96.63,4.96,4078500.0,169782.0,0.0
TOBG_CPC-96.fna,89.77,2.74,3080694.0,56437.0,0.0
TOBG_NAT-257.fna,60.1,4.44,,,0.0
TOBG_MED-763.fna,97.79,7.84,2111841.0,98891.0,0.0
TOBG_MED-762.fna,82.72,4.41,1880399.0,53455.0,0.0
TOBG_MED-761.fna,50.87,0.0,,,0.0
TOBG_MED-767.fna,73.05,1.16,,,0.0
TOBG_MED-765.fna,95.73,0.46,1989739.0,168110.0,0.0
TOBG_MED-619.fna,82.12,1.0,1616686.0,96672.0,0.0
TOBG_MED-614.fna,81.37,4.99,1903688.0,36787.0,0.0
TOBG_NP-1324.fna,67.0,0.5,,,0.0
TOBG_RS-456.fna,94.39,6.57,4172585.0,28231.0,0.0
TOBG_MED-1122.fna,88.3,8.16,3636569.0,78900.0,0.971564
TOBG_ARS-1040.fna,56.96,2.34,,,0.0
TOBG_NP-42.fna,86.48,4.9,3854487.0,20961.0,0.0
TOBG_SP-347.fna,73.58,0.03,,,0.0
TOBG_SP-341.fna,78.38,1.08,1899875.0,48880.0,0.0
TOBG_MED-972.fna,83.52,8.24,1747143.0,34221.0,0.0
TOBG_SP-298.fna,55.17,0.0,,,0.0
TOBG_SAT-1584.fna,62.15,3.25,,,0.0
TOBG_SAT-1568.fna,71.93,3.41,,,0.0
TOBG_SAT-1560.fna,60.37,2.39,,,0.0
TOBG_NP-1159.fna,52.67,1.6,,,0.0
TOBG_NAT-244.fna,55.49,3.45,,,0.0
TOBG_MED-750.fna,53.47,1.98,,,0.0
TOBG_MED-751.fna,54.65,0.57,,,0.0
TOBG_MED-598.fna,97.8,1.1,1438732.0,58742.0,0.0
TOBG_MED-594.fna,96.58,7.26,2500777.0,126539.0,0.9888129999999999
TOBG_MED-596.fna,96.59,5.38,1820433.0,88906.0,0.0
TOBG_MED-597.fna,80.95,1.35,3119853.0,19095.0,0.0
TOBG_MED-590.fna,91.89,4.05,2560327.0,19548.0,0.0
TOBG_MED-591.fna,80.59,1.35,1543911.0,102911.0,0.0
TOBG_MED-593.fna,95.21,8.0,1567035.0,52858.0,0.0
TOBG_NP-1080.fna,50.9,0.0,,,0.0
TOBG_MED-629.fna,79.03,1.5,3666716.0,20220.0,0.0
TOBG_MED-622.fna,96.51,6.0,2609325.0,48116.0,0.0
TOBG_MED-623.fna,100.0,9.68,2493169.0,52023.0,0.0
TOBG_MED-627.fna,64.01,1.97,,,0.0
TOBG_RS-421.fna,89.56,2.2,2154467.0,33934.0,0.0
TOBG_RS-449.fna,51.49,3.96,,,0.0
TOBG_SP-355.fna,55.17,1.72,,,0.0
TOBG_SP-356.fna,51.88,1.72,,,0.0
TOBG_SP-191.fna,82.21,3.45,2238706.0,81164.0,0.0
TOBG_RS-444.fna,51.92,2.69,,,0.0
TOBG_RS-445.fna,60.16,3.42,,,0.0
TOBG_SP-4170.fna,50.78,1.72,,,0.0
TOBG_SP-348.fna,76.07,1.28,2222761.0,558416.0,0.9789599999999999
TOBG_MED-749.fna,51.26,1.91,,,0.0
TOBG_MED-748.fna,93.3,4.33,2062232.0,51216.0,0.0
TOBG_MED-741.fna,97.3,8.11,2312040.0,64580.0,0.0
TOBG_MED-744.fna,98.28,8.46,2374511.0,101234.0,0.0
TOBG_MED-747.fna,91.26,0.55,1627873.0,222763.0,0.0
TOBG_CPC-299.fna,60.13,2.44,,,0.0
TOBG_CPC-296.fna,79.78,3.93,634247.0,19612.0,0.0
TOBG_NAT-5.fna,97.72,5.4,3199630.0,99414.0,0.0
TOBG_MED-637.fna,91.14,3.51,2045228.0,74404.0,0.981424
